seccion,numero seccion,circuito,codigo circuito,centro de votacion,mesa,UNITE POR LA LIBERTAD Y LA DIGNIDAD P195,PARTIDO HUMANISTA P22,CORDOBA CAMBIA A500,ENCUENTRO VECINAL CORDOBA P217,UCeDe 20,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL P231,UCR 3,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES A830,MOVIMIENTO DE AVANZADA SOCIALISTA P238,HACEMOS POR CORDOBA A601,MOVIMIENTO DE ACCION VECINAL P57,VECINALISMO INDEPENDIENTE P191,UNION CIUDADANA P200,MST - NUEVA IZQUIERDA A300,TOTAL VOTOS AGRUPACIONES POLITICA,VOTOS EN BLANCO,VOTOS NULOS,VOTOS RECURRIDOS,TOTAL DE VOTOS ESCRUTADOS
Capital,1,GENERAL BUSTOS,13C,ESC CRISTO REY,2559,0,10,50,11,0,0,29,7,0,109,1,2,2,5,234,4,20,0,258
Capital,1,GENERAL BUSTOS,13C,COLEGIO HORTUS CONCLUSUS,2577,0,4,48,11,0,0,25,4,0,131,0,3,1,2,229,6,3,0,238
Capital,1,NUEVA ITALIA,13F,ESC SGTO CABRAL,2610,0,3,51,20,1,0,23,11,2,115,1,6,1,7,241,9,6,1,257
Capital,1,PARQUE LICEO,13G,ESC ESPIRITU SANTO,2642,0,5,30,14,0,0,26,8,0,140,0,5,0,3,231,13,14,0,258
Capital,1,PARQUE LICEO,13G,ESC ESPIRITU SANTO,2649,0,1,47,12,1,1,33,9,0,135,0,4,0,2,239,16,8,0,263
Capital,1,VILLA AZALAIS,13J,ESC CURA BROCHERO,2759,0,2,42,4,0,0,22,3,0,123,0,2,0,3,0,4,8,0,213
Capital,1,CHACHAPOYAS,13O,ESC. CARLOS TAGLE ACHAVAL,2869,0,1,5,6,1,0,6,3,0,162,0,1,0,2,192,15,3,0,210
Capital,1,CHACHAPOYAS,13O,ESC. CARLOS TAGLE ACHAVAL,2870,0,1,5,4,1,0,9,2,0,150,2,1,0,1,176,24,11,0,211
Capital,1,CHACHAPOYAS,13O,ESC. CARLOS TAGLE ACHAVAL,2873,0,5,4,17,0,0,8,8,0,0,129,0,4,4,179,12,5,0,195
Capital,1,ARGUELLO,14,COLEGIO LA SALLE,2875,0,2,101,23,0,0,12,15,0,85,0,6,4,4,259,4,3,0,264
Capital,1,ARGUELLO,14,COLEGIO LA SALLE,2877,0,1,95,18,0,0,17,4,1,83,0,2,6,6,233,10,5,1,249
Capital,1,ARGUELLO NORTE,14A,ESC HUGO LEONELLI,2920,0,4,25,13,1,0,17,4,2,150,0,1,1,2,220,13,1,6,238
Capital,1,ARGUELLO NORTE,14A,ESC HUGO LEONELLI,2925,0,4,20,7,0,1,14,6,2,146,0,3,1,0,203,15,10,0,232
Capital,1,ARGUELLO NORTE,14A,ESC HUGO LEONELLI,2927,0,2,22,11,0,0,24,2,1,138,1,5,2,6,214,16,10,0,240
Capital,1,ARGUELLO PRIMERO,14B,ESC ELISA K DE LIVACK,2967,0,7,68,11,0,0,15,10,1,100,1,4,4,4,225,3,1,10,239
Capital,1,CERRO DE LAS ROSAS,14D,ESC INGENIERO VICTOR REE,2986,0,2,103,16,0,0,12,12,0,80,2,1,1,2,231,6,5,0,242
Capital,1,CERRO DE LAS ROSAS,14D,ESC JUAN ZORRILA DE SAN MARTIN,2993,0,1,110,27,0,0,12,9,0,79,0,2,4,2,246,5,4,2,257
Capital,1,CERRO DE LAS ROSAS,14D,ESC JUAN ZORRILA DE SAN MARTIN,2996,0,4,98,35,0,0,8,9,1,74,0,3,3,4,239,6,2,4,251
Capital,1,CERRO NORTE,14E,ESC NIÑAS DE AYOHUMA,3015,0,4,48,10,0,0,22,9,0,133,0,2,4,4,236,0,4,24,240
Capital,1,CERRO NORTE,14E,ESC GERONIMO GRAGERA,3018,0,7,32,21,0,0,28,10,0,134,2,4,1,4,243,4,10,0,257
Capital,1,GRANJA DE FUNES,14F,ESC DR ALEJANDRO GALLARDO,3028,0,3,68,13,3,0,17,13,0,89,0,4,5,5,220,10,10,4,244
Capital,1,LOS BOULEVARES,14G,ESC MUNIC ING MASJOAN,3043,0,2,45,11,1,0,22,8,1,134,1,4,1,4,232,14,7,3,256
Capital,1,LOS BOULEVARES,14G,ESC MUNIC ING MASJOAN,3049,0,5,45,4,0,0,12,15,1,126,0,5,1,1,215,5,13,3,236
Capital,1,LOS BOULEVARES,14G,ESC MUNIC ING MASJOAN,3050,0,3,37,17,1,0,33,7,1,115,1,3,2,11,229,9,6,3,247
Capital,1,MERCANTIL,14H,ESC ARTEMIO ARAN,3079,0,5,35,13,0,0,14,5,0,152,0,0,0,0,0,0,0,0,0
Capital,1,SANTA CECILIA,14I,ESC MUNIC ARSENIO MURUGARREN,3097,0,4,91,18,1,0,23,12,1,111,0,6,3,2,272,5,6,0,283
Capital,1,SANTA CECILIA,14I,ESC MUNIC ARSENIO MURUGARREN,3099,0,4,77,18,0,1,16,22,0,117,2,4,5,6,272,2,0,0,274
Capital,1,URCA,14J,ESC  REPUBLICA DEL LIBANO,3109,0,2,92,38,0,0,22,4,0,72,0,6,5,1,0,11,6,2,261
Capital,1,URCA,14J,ESC  REPUBLICA DEL LIBANO,3110,0,1,98,17,0,0,23,11,0,89,0,8,0,4,251,10,4,0,265
Capital,1,VILLA BELGRANO,14L,ESC  NUEVA JUAN MANTOVANI,3136,0,2,94,21,0,0,19,10,0,75,0,7,4,5,296,10,8,3,257
Capital,1,VILLA CENTENARIO,14M,ESC PRIMERA JUNTA,3172,0,1,7,17,1,0,22,14,0,91,0,4,3,7,236,4,5,0,245
Capital,1,VILLA RIVERA INDARTE,14P,ESC MUNIC DR JORGE ORGAZ,3215,0,4,48,8,0,24,13,2,119,1,5,3,6,0,234,10,4,7,255
Capital,1,VILLA RIVERA INDARTE,14P,ESC MUNIC DR JORGE ORGAZ,3220,0,5,59,19,0,0,21,11,1,99,1,5,3,9,233,11,5,0,249
Capital,1,VILLA RIVERA INDARTE,14P,IPEM N° 17,3222,0,4,50,24,0,0,15,17,1,95,0,5,3,4,218,12,8,0,238
Calamuchita,2,EMBALSE,17,ESCUELA B. ROLDAN,3250,0,3,36,3,1,0,28,5,0,154,0,0,0,2,232,15,10,1,258
Calamuchita,2,LOS CONDORES,19,ESC BALDOMERO E FERNANDEZ M,3267,0,2,41,1,0,0,38,0,0,144,1,0,3,0,230,4,8,0,242
Calamuchita,2,LOS CONDORES,19,ESC BALDOMERO E FERNANDEZ M,3269,0,0,45,1,0,0,32,2,0,135,0,0,1,0,0,9,13,0,238
Calamuchita,2,LOS REARTES,20,ESC PROV PEDRO B PALACIOS,3277,0,4,43,3,0,0,18,14,2,112,1,0,1,1,199,18,4,0,221
Calamuchita,2,VILLA DEL DIQUE,24A,ESC.PROV.ALMIRANTE BROWN,3332,0,4,29,8,0,0,25,4,0,141,0,3,0,3,217,8,7,0,232
Calamuchita,2,VILLA DEL DIQUE,24A,ESC.PROV.ALMIRANTE BROWN,3335,0,2,34,6,2,0,19,9,1,126,0,4,1,5,209,8,12,0,219
Calamuchita,2,SAN AGUSTIN,25,ESC. PROV.GRAL. SAN MARTIN,3341,0,0,7,5,0,0,51,0,0,174,1,0,2,0,240,38,2,1,281
Calamuchita,2,SAN AGUSTIN,25,COLEGIO SAN JOSE,3346,0,0,5,0,0,0,45,2,0,176,1,1,0,0,230,45,3,0,275
Colón,3,COLONIA CAROYA,29,COLEGIO PIO LEON,3503,0,0,39,10,1,0,37,3,1,150,0,3,1,4,0,12,8,0,269
Colón,3,COLONIA CAROYA,29,COLEGIO PIO LEON,3504,0,3,45,9,1,0,32,4,3,136,0,4,0,4,241,8,9,0,258
Colón,3,COLONIA CAROYA,29,COLEGIO PIO LEON,3506,0,6,60,4,0,0,29,2,0,128,2,4,4,2,241,4,12,0,257
Colón,3,COLONIA CAROYA,29,ESC. PROV. GRAL SAN MARTIN,3525,0,4,40,2,0,0,33,0,1,153,0,3,0,0,236,7,11,0,254
Colón,3,COLONIA CAROYA,29,ESC. PROV. GRAL SAN MARTIN,3526,0,9,43,3,0,0,43,3,0,105,3,0,2,2,0,36,5,0,254
Colón,3,COLONIA CAROYA,29,ESCUELA M. MORENO,3548,0,3,46,5,1,0,34,4,2,107,0,4,4,0,210,5,22,0,237
Colón,3,COLONIA TIROLESA,30,IPET 83 RENE FAVALORO,3557,0,1,62,18,0,0,37,3,0,119,1,4,0,2,247,9,9,0,265
Colón,3,COLONIA TIROLESA,30,IPET 83 RENE FAVALORO,3559,0,9,46,16,0,0,20,0,0,122,0,5,0,2,220,5,4,0,229
Colón,3,COLONIA TIROLESA,30,ESC PROV DR PABLO RUEDA,3564,0,5,42,11,0,1,30,4,3,106,0,3,0,1,206,9,9,0,224
Colón,3,JESUS MARIA,33,PTE DOMINGO F SARMIENTO,3605,0,1,55,11,1,0,21,16,2,111,1,3,0,3,0,6,6,0,237
Colón,3,JUAREZ CELMAN,34,ESC.ATAHUALPA YUPANQUI,3700,0,3,18,1,0,0,21,2,0,126,0,4,0,0,167,5,0,3,175
Colón,3,JUAREZ CELMAN,34,IPET 333 JULIO SALUSSO,3708,0,3,21,5,0,0,26,8,0,152,0,1,0,4,220,5,0,5,230
Colón,3,JUAREZ CELMAN,34,IPET 333 JULIO SALUSSO,3709,0,2,20,10,0,0,30,2,1,141,0,2,0,1,209,4,7,0,220
Colón,3,RIO CEBALLOS,37,INSTITUTO DEL ESPIRITU SANTO,3798,0,3,42,9,0,0,25,17,0,123,1,0,0,8,228,6,13,0,228
Colón,3,RIO CEBALLOS,37,INSTITUTO DEL ESPIRITU SANTO,3801,0,4,48,13,0,0,23,9,0,105,0,6,0,6,214,5,7,1,227
Colón,3,RIO CEBALLOS,37,INSTITUTO DEL ESPIRITU SANTO,3808,0,4,64,9,1,0,22,15,1,98,1,3,1,6,218,18,7,0,243
Colón,3,SALSIPUEDES,38,ESCUELA RECONQUISTA,3838,0,1,41,11,0,0,23,7,2,123,0,5,1,8,222,5,14,0,241
Colón,3,UNQUILLO,40,ESC.PROV. D.V.SARSFIELD,3859,0,4,40,10,0,0,32,17,1,123,1,1,4,1,237,8,0,6,251
Colón,3,MENDIOLAZA,40A,ESC.PIAS DE MENDIOLAZA,3906,0,5,60,16,1,0,27,15,0,115,0,5,1,6,251,2,0,1,254
Colón,3,MENDIOLAZA,40A,I.P.E.M.N° 3178,3924,0,3,75,14,0,0,20,16,1,111,0,5,3,7,255,6,4,1,266
Colón,3,MENDIOLAZA,40A,I.P.E.M.N° 3178,3925,0,7,52,29,0,0,13,8,3,104,0,8,3,4,246,10,5,5,246
Colón,3,MENDIOLAZA,40A,I.P.E.M.N° 3178,3929,0,4,72,15,0,0,16,10,0,111,0,10,4,5,247,7,0,4,258
Colón,3,VILLA ALLENDE,41,INST GRAL S.MARTIN/17 DE AGOST,3983,0,3,64,23,0,1,11,4,1,99,0,9,3,7,225,2,9,0,236
Colón,3,VILLA ALLENDE,41,INST GRAL S.MARTIN/17 DE AGOST,3986,0,7,65,14,0,0,10,10,0,111,0,6,1,5,229,5,5,0,239
General San Martín,6,TICINO,87,ESC. A. CAPDEVILA,4364,0,5,41,1,1,0,34,1,1,132,0,0,0,3,219,11,6,0,236
General San Martín,6,TICINO,87,ESC. A. CAPDEVILA,4368,0,4,38,2,0,0,45,3,2,137,0,1,1,1,234,18,3,0,255
Ischilín,7,DEAN FUNES,95,ESC.PROV.GRAL SAN MARTIN,4665,0,0,30,5,0,0,28,3,0,154,0,0,1,2,223,11,0,2,236
Ischilín,7,DEAN FUNES,95,ESC.PEDRO N.ARIAS,4677,0,0,34,4,1,0,22,0,148,0,0,1,5,0,217,14,6,0,237
Ischilín,7,TOYOS,101,ESC PROV JOAQUIN V GONZALEZ,4734,0,0,3,0,0,0,26,0,0,14,0,1,0,0,44,1,2,0,47
Juárez Celman,8,ASSUNTA,103,ESC.PROV.D.F.SARMIENTO,4751,0,2,2,0,1,0,4,0,0,48,0,0,1,0,60,0,0,0,60
Juárez Celman,8,BENGOLEA,105,ESC.DR JUAN MANUEL PEREYRA,4752,0,1,37,3,0,0,61,0,0,122,1,2,1,1,229,8,0,0,237
Juárez Celman,8,CABRERA,106,ESC.FRAY PIO BENTIVOGLIO,4775,0,1,49,2,0,134,0,0,2,134,0,0,2,1,210,6,0,4,275
Juárez Celman,8,DEHEZA,109,ESC.PROV.GRAL SAN MARTIN,4817,0,1,68,18,1,0,22,12,0,121,0,2,4,2,251,9,5,1,266
Juárez Celman,8,EL RASTREADOR,110,ESC CARLOS MARIA DE ALVEAR,4825,0,1,5,5,2,0,2,0,0,15,0,1,0,0,31,1,0,0,32
Juárez Celman,8,HUANCHILLA,111,ESC PROV DOMINGO F SARMIENTO,4827,0,0,16,23,0,0,20,0,0,156,0,0,0,0,215,29,1,2,247
Juárez Celman,8,HUANCHILLA,111,ESC PROV DOMINGO F SARMIENTO,4829,0,1,20,13,0,0,6,2,0,144,0,0,0,1,187,25,5,0,217
Juárez Celman,8,LA CARLOTA,112,ESC.NAC.DE COMERCIO,4850,0,2,48,7,4,0,6,2,0,146,0,1,2,1,219,25,10,0,254
Juárez Celman,8,PASO DEL DURAZNO,116A,ESC.PROV.MARTIN DE ALVA,4874,0,1,22,0,0,0,19,0,0,44,0,0,0,0,69,5,1,0,92
Juárez Celman,8,UCACHA,118,ESC.PROV.J.B.ALBERDI,4883,0,1,39,4,2,0,32,2,1,130,0,0,0,4,215,8,4,0,227
Juárez Celman,8,UCACHA,118,ESC.PROV.J.B.ALBERDI,4889,3,31,5,3,0,24,7,0,137,0,0,0,2,0,212,5,0,6,223
Marcos Juárez,9,CAMILO ALDAO,123,IPEM N°151 J URBIZU,4939,0,2,33,2,1,0,57,0,0,129,0,0,0,0,0,7,3,0,234
Marcos Juárez,9,LOS SURGENTES,132,ESC GENERAL SAN MARTIN,5056,0,0,58,0,0,0,7,4,0,179,0,0,1,0,249,13,0,0,263
Marcos Juárez,9,MARCOS JUAREZ,133,IPEM N°51 NICOLAS AVELLANEDA,5107,0,0,45,1,0,0,28,2,0,142,0,1,0,1,220,13,0,0,233
Marcos Juárez,9,MONTE BUEY,134,ESC MANUEL BELGRANO,5141,0,2,46,3,2,0,40,1,1,144,1,1,1,2,244,7,2,0,253
Marcos Juárez,9,SAIRA,137,INSTITUTO MANUEL BELGRANO,5155,0,0,12,0,1,0,53,0,0,138,0,0,0,0,204,7,1,0,212
Punilla,12,COSQUIN,150,IPEM N°60 M MORENO(EX IPET 13),5280,0,1,37,3,1,0,21,5,1,142,0,3,0,7,221,6,4,0,231
Punilla,12,COSQUIN,150,ESC NORMAL SUP R SAENZ PEÑA,5294,0,0,27,3,2,0,30,8,1,128,1,2,0,4,216,10,0,0,236
Punilla,12,COSQUIN,150,ESC TTE GRAL JULIO A ROCA,5308,0,6,38,5,0,0,15,8,4,112,2,3,1,6,200,10,2,0,212
Punilla,12,VILLA CARLOS PAZ,156,ESC PRESIDENTE SARMIENTO,5452,0,6,41,6,0,0,31,5,0,136,1,9,5,7,0,7,9,0,254
Punilla,12,VILLA CARLOS PAZ,156,INST ALFONSINA STORNI(EX IESS),5469,0,3,44,9,0,0,18,6,0,116,0,2,1,8,207,3,5,0,215
Punilla,12,VILLA CARLOS PAZ,156,INST ALFONSINA STORNI(EX IESS),5476,0,3,42,10,0,0,12,7,2,132,1,2,0,6,217,4,8,0,217
Punilla,12,VILLA CARLOS PAZ,156,INST ALFONSINA STORNI(EX IESS),5477,0,4,33,4,0,0,9,11,1,132,1,0,2,3,200,3,4,0,207
Punilla,12,VILLA CARLOS PAZ,156,INST ALFONSINA STORNI(EX IESS),5478,0,2,44,9,0,0,23,14,0,137,5,4,1,3,242,10,9,0,261
Punilla,12,VILLA CARLOS PAZ,156,INST ALFONSINA STORNI(EX IESS),5483,0,2,62,1,0,0,24,5,0,113,0,0,1,6,214,8,15,0,237
Punilla,12,VILLA CARLOS PAZ,156,INST ALFONSINA STORNI(EX IESS),5486,0,2,63,11,2,0,16,6,0,131,0,2,1,3,237,3,8,0,248
Punilla,12,VILLA CARLOS PAZ,156,IPEM N° 365-DR RENE FAVALORO,5538,0,10,37,4,2,0,15,6,2,122,0,2,0,1,202,7,6,0,215
Punilla,12,VILLA CARLOS PAZ,156,IPEM N° 365-DR RENE FAVALORO,5541,0,0,47,5,1,0,18,9,2,116,0,1,1,2,202,5,5,0,212
Punilla,12,VILLA CARLOS PAZ,156,IPEM N° 365-DR RENE FAVALORO,5547,0,6,66,10,0,0,10,7,0,111,7,3,2,4,220,6,0,5,231
Punilla,12,VILLA CARLOS PAZ,156,ESC RICARDO BERNABE FERNANDEZ,5569,0,3,65,9,0,0,22,7,0,111,1,3,1,4,0,0,0,0,0
Punilla,12,VILLA CARLOS PAZ,156,COLEGIO COSTA AZUL,5585,0,3,57,4,0,0,17,6,0,109,1,6,1,7,211,5,0,6,222
Punilla,12,VILLA CARLOS PAZ,156,COLEGIO COSTA AZUL,5586,0,4,47,11,0,0,21,3,0,125,1,1,1,5,0,6,8,0,232
Punilla,12,VILLA CARLOS PAZ,156,COLEGIO COSTA AZUL,5590,0,2,59,15,0,0,12,7,1,113,0,4,2,4,219,2,0,4,219
Río Cuarto,13,BANDA NORTE,165,MERC DEL NIÑO JESUS/S FCO ASIS,5791,0,5,40,5,1,0,26,0,0,161,2,0,2,0,242,21,10,0,273
Río Cuarto,13,BANDA NORTE,165,INST SUP RAMON MENENDEZ PIDAL,5792,0,3,10,7,0,0,14,8,3,165,0,1,3,4,218,28,1,12,259
Río Cuarto,13,BANDA NORTE,165,INST SUP RAMON MENENDEZ PIDAL,5793,0,5,30,5,3,0,28,6,2,130,1,0,4,1,0,13,4,0,234
Río Cuarto,13,BANDA NORTE,165,INST SUP RAMON MENENDEZ PIDAL,5794,0,4,47,13,1,0,20,7,1,132,0,1,1,5,232,4,0,4,240
Río Cuarto,13,BANDA NORTE,165,INST SUP RAMON MENENDEZ PIDAL,5795,0,9,30,2,1,0,16,6,2,140,3,2,1,6,218,14,18,0,250
Río Cuarto,13,BANDA NORTE,165,INST SUP RAMON MENENDEZ PIDAL,5801,0,2,33,3,0,0,31,7,0,147,0,2,3,6,234,12,10,0,256
Río Cuarto,13,BANDA NORTE,165,ESC PROVINCIA SANTA CRUZ,5813,0,4,36,1,0,0,24,5,1,160,1,3,0,3,238,4,0,5,247
Río Cuarto,13,LA CAUTIVA,174,ESC PROV JOSE DE SAN MARTIN,5896,19,0,19,0,0,0,53,1,1,95,1,0,0,0,171,2,7,0,180
Río Cuarto,13,LAS HIGUERAS,179,ESC JORGE ALEJANDRO NEWBERY,5917,0,2,37,9,0,0,20,3,2,137,0,1,1,1,213,13,0,12,238
Río Cuarto,13,LAS HIGUERAS,179,ESC JORGE ALEJANDRO NEWBERY,5919,0,8,27,4,0,0,24,4,1,171,0,1,3,1,244,4,10,0,258
Río Cuarto,13,LAS HIGUERAS,179,ESC JORGE ALEJANDRO NEWBERY,5922,0,4,42,1,2,0,18,4,3,144,1,1,3,6,289,5,7,0,241
Río Cuarto,13,PUEBLO ALBERDI,186,ESC GRAL JUSTO S ANAYA,6026,0,4,18,4,1,0,14,4,2,182,0,1,0,1,0,5,5,0,241
Río Cuarto,13,PUEBLO ALBERDI,186,ESC GRAL JUSTO S ANAYA,6027,0,5,20,0,1,0,19,4,0,142,1,4,1,2,225,7,19,0,225
Río Cuarto,13,PUEBLO ALBERDI,186,ESC GRAL JUSTO S ANAYA,6030,0,1,28,1,0,0,26,4,1,135,0,1,3,3,223,8,8,0,239
Río Cuarto,13,PUEBLO ALBERDI,186,ESC GRAL JUSTO S ANAYA,6032,0,8,18,2,1,0,15,2,0,161,0,1,0,3,211,7,5,0,223
Río Cuarto,13,PUEBLO ALBERDI,186,IPET 314- GRAL J DE SAN MARTIN,6067,0,7,16,0,0,0,19,3,2,153,0,1,0,2,205,6,16,0,227
Río Cuarto,13,RIO CUARTO,188,INST SAN BUENAVENTURA,6101,0,0,59,6,0,0,32,4,1,113,0,0,3,2,220,3,12,0,235
Río Cuarto,13,RIO CUARTO,188,ESC.NORMAL COMERCIAL,6239,0,3,47,1,2,0,27,1,1,122,0,0,1,5,210,7,14,0,231
Río Cuarto,13,RIO CUARTO,188,ESC.NORMAL COMERCIAL,6245,0,3,34,0,0,0,27,2,1,129,1,1,1,4,0,4,10,0,217
Río Cuarto,13,RIO CUARTO,188,ESC.NORMAL COMERCIAL,6246,0,4,66,1,4,0,24,3,0,97,0,2,7,4,212,6,14,0,232
Río Cuarto,13,RIO CUARTO,188,ESC VELEZ SARSFIELD,6256,0,3,45,2,0,0,21,5,0,114,0,4,1,3,213,8,7,0,213
Río Primero,14,COLONIA LAS CUATRO ESQUINAS,201,ESC JOSE MARIA PAZ,6338,0,0,15,1,0,0,17,0,0,59,0,0,0,0,0,3,2,0,96
Río Primero,14,LAS GRAMILLAS,201A,ESC MAEST F BELLORA DE DAVILA,6339,0,2,14,0,0,0,43,0,0,53,0,0,1,0,108,4,1,0,113
Río Primero,14,LAS HERAS,206,ES RAUL AUGUSTO PEDERNERA-411,6361,0,0,8,1,0,0,21,0,0,3,0,0,0,0,33,1,0,0,34
Río Primero,14,MONTE CRISTO,211,ESCUELA 25 DE MAYO,6395,0,1,16,3,0,0,38,5,0,184,0,3,1,2,255,18,0,6,279
Río Seco,15,PUESTO DE CASTRO,226A,ESC.PROV.D.F.SARMIENTO,6473,0,0,4,0,0,0,23,0,1,53,6,0,1,0,88,12,10,0,110
Río Segundo,16,PILAR,240,ESC ZENON LOPEZ,6620,0,1,41,3,1,0,49,5,3,120,0,1,0,3,227,4,10,0,241
Río Segundo,16,PILAR,240,ESC ZENON LOPEZ,6627,0,0,33,2,3,0,39,5,0,151,0,3,0,5,241,3,4,0,248
Río Segundo,16,PILAR,240,ESC ZENON LOPEZ,6628,0,0,41,7,3,0,56,8,1,126,0,0,0,2,244,10,7,0,261
Río Segundo,16,PILAR,240,ESC ZENON LOPEZ,6630,0,5,34,3,0,0,54,4,1,136,0,0,0,2,239,9,9,0,257
Río Segundo,16,PILAR,240,ESC JUAN BAUTISTA BUSTOS,6633,0,1,34,8,0,0,59,2,1,113,0,1,3,5,227,5,8,0,240
Río Segundo,16,PILAR,240,ESC JUAN BAUTISTA BUSTOS,6636,0,2,28,7,1,0,43,4,3,135,2,1,3,2,237,5,5,0,247
Río Segundo,16,PILAR,240,ESC JUAN BAUTISTA BUSTOS,6639,0,3,30,11,0,0,49,7,0,111,0,5,2,4,222,10,6,0,238
Río Segundo,16,PILAR,240,ESC MARIA J GONZALEZ CASEROS,6646,0,1,38,4,4,0,53,3,0,112,0,2,1,2,219,4,0,6,229
Río Segundo,16,PILAR,240,ESC MARIA J GONZALEZ CASEROS,6647,0,3,59,5,1,0,46,5,0,92,0,0,2,2,215,7,0,6,228
Río Segundo,16,PILAR,240,INST CARLOS PELLEGRINI,6656,0,4,35,8,2,0,32,0,0,144,1,2,0,1,252,8,0,8,254
Pte. Roque Sáenz Peña,17,LABOULAYE,248,ESC GRAL CONRADO VILLEGAS,6792,0,2,47,1,1,0,31,3,0,131,0,1,2,1,220,8,7,0,235
Pte. Roque Sáenz Peña,17,LABOULAYE,248,ESC GRAL CONRADO VILLEGAS,6794,0,5,49,1,1,0,30,1,0,154,0,1,0,1,243,7,6,3,259
Pte. Roque Sáenz Peña,17,LABOULAYE,248,ESC LEONOR DE TEJEDA,6804,0,0,4,29,3,0,39,5,0,126,1,0,0,4,211,17,8,0,236
Pte. Roque Sáenz Peña,17,LABOULAYE,248,IPEM 257 DR RENE FAVALORO,6809,0,5,38,6,1,0,26,1,0,147,0,3,2,0,0,4,0,4,237
Pte. Roque Sáenz Peña,17,LABOULAYE,248,ESC PRESIDENTE R SAENZ PEÑA,6830,0,3,48,2,0,0,31,0,1,137,0,0,0,4,226,9,3,0,238
San Javier,19,DOLORES,268,ESC MARIANO MORENO,6992,0,3,17,5,0,0,17,4,0,145,0,0,2,5,198,14,8,0,220
San Javier,19,DOLORES,268,ESC MANUEL BELGRANO,7038,0,3,45,3,0,0,35,9,3,124,0,2,0,1,225,2,0,2,229
San Justo,20,ARROYITO,279,ESC MANUEL BELGRANO,7152,0,1,47,15,0,0,42,2,0,145,0,3,1,2,258,5,5,0,268
San Justo,20,PROSPERIDAD,306,ESC PROV SANTIAGO DERQUI,7476,0,0,36,0,0,0,37,0,1,92,7,0,0,4,177,5,3,0,185
San Justo,20,SAN FRANCISCO SECC. NORTE,310A,ESC DOMINGO F SARMIENTO,7596,0,3,55,6,1,0,21,6,0,117,1,0,5,5,220,22,8,0,250
Santa María,21,ALTA GRACIA,316,INST SUP ANGLO AMERICANO,7715,0,7,56,5,2,0,24,9,1,119,0,2,3,6,234,8,11,2,255
Santa María,21,ALTA GRACIA,316,INST SUP ANGLO AMERICANO,7716,0,6,42,10,1,0,16,12,0,102,1,4,1,4,0,15,7,0,223
Santa María,21,ALTA GRACIA,316,ESCUELA SAN MARTIN,7729,0,8,25,3,0,0,13,7,1,178,0,1,0,5,241,11,0,7,259
Santa María,21,ALTA GRACIA,316,ESCUELA SAN MARTIN,7733,0,5,49,8,0,0,21,3,1,128,0,5,0,0,229,6,0,0,236
Santa María,21,ALTA GRACIA,316,ESCUELA SAN MARTIN,7737,0,2,44,8,6,0,24,8,0,153,2,1,1,4,246,6,1,4,257
Santa María,21,ALTA GRACIA,316,ESC REPUBLICA ITALIANA,7740,0,5,40,4,0,1,19,5,3,131,1,1,5,0,215,11,0,22,248
Santa María,21,ALTA GRACIA,316,ESCUELA MANUEL SOLARES,7779,0,6,35,4,1,0,22,10,1,156,2,4,3,4,248,6,11,0,265
Santa María,21,ALTA GRACIA,316,ESCUELA MANUEL SOLARES,7780,0,1,44,6,0,0,21,9,1,137,1,5,2,6,233,4,7,0,242
Tercero Arriba,23,HERNANDO,340,COLEGIO DIVINO CORAZON,8040,0,5,43,7,3,0,36,0,0,136,0,1,1,5,237,11,3,0,251
Tercero Arriba,23,HERNANDO,340,COLEGIO DIVINO CORAZON,8041,0,2,58,6,0,0,41,3,3,118,0,0,1,3,235,21,6,0,262
Tercero Arriba,23,HERNANDO,340,ESC PABLO A PIZZURNO,8050,0,2,56,4,0,0,40,3,1,121,1,1,2,2,233,7,0,4,244
Tercero Arriba,23,HERNANDO,340,ESC LA STMA TRINIDAD,8055,0,4,58,8,2,0,32,6,1,112,0,1,3,5,232,8,0,7,247
Tercero Arriba,23,JAMES CRAIK,341,INST SEC JOSE M ESTRADA,8065,0,6,42,6,0,0,33,1,2,144,1,0,0,2,239,9,7,0,255
Tercero Arriba,23,JAMES CRAIK,341,ESC PROV J M SALGUEIRO,8069,0,6,25,1,2,0,41,0,0,114,1,1,1,5,197,12,0,13,221
Tercero Arriba,23,OLIVA,344,ESC PROV BARTOLOME MITRE,8091,0,4,38,2,16,0,30,9,0,121,3,2,3,2,229,12,6,0,248
Tercero Arriba,23,OLIVA,344,ESC PROV BARTOLOME MITRE,8096,0,2,68,3,9,0,42,2,0,103,0,1,0,5,235,3,4,0,242
Tercero Arriba,23,OLIVA,344,ESC PROV BARTOLOME MITRE,8097,0,1,48,6,9,1,52,5,0,119,1,2,0,0,244,4,6,0,254
Tercero Arriba,23,OLIVA,344,C0LEGIO SAGRADO CORAZON,8098,0,3,57,3,14,0,36,8,0,125,0,1,1,1,259,1,7,0,267
Tercero Arriba,23,OLIVA,344,C0LEGIO SAGRADO CORAZON,8101,0,6,37,3,15,0,25,5,2,131,1,1,1,2,229,3,4,0,236
Tercero Arriba,23,OLIVA,344,C0LEGIO SAGRADO CORAZON,8102,0,4,27,2,14,0,29,4,1,145,0,2,0,6,235,4,7,0,245
